departure_date,arrival_date,company,duration,stops,emissions,emission_comparison,price,price_type,flight_link,departure_airport,arrival_airport
11:41 PM,11:58 AM+1,United,9 hr 17 min,1 stop,293 kg CO2,+17% emissions,$600,round trip,https://www.google.com/travel/flights/search?tfs=CBwQAhoeagcIARIDU0VBEgoyMDIzLTA1LTE5cgcIARIDRVdSGh5qBwgBEgNFV1ISCjIwMjMtMDUtMzByBwgBEgNTRUFwAYIBCwj___________8BQAFIAZgBAQ&tfu=EgYIARABGAA&hl=en-US&curr=USD,Seattle-Tacoma International Airport,Newark Liberty International Airport
12:41 PM,11:43 PM,United,8 hr 2 min,1 stop,302 kg CO2,+20% emissions,$604,round trip,https://www.google.com/travel/flights/search?tfs=CBwQAhoeagcIARIDU0VBEgoyMDIzLTA1LTE5cgcIARIDRVdSGh5qBwgBEgNFV1ISCjIwMjMtMDUtMzByBwgBEgNTRUFwAYIBCwj___________8BQAFIAZgBAQ&tfu=EgYIARABGAA&hl=en-US&curr=USD,Seattle-Tacoma International Airport,Newark Liberty International Airport
4:58 PM,9:12 AM+1,United,13 hr 14 min,1 stop,271 kg CO2,+8% emissions,$613,round trip,https://www.google.com/travel/flights/search?tfs=CBwQAhoeagcIARIDU0VBEgoyMDIzLTA1LTE5cgcIARIDRVdSGh5qBwgBEgNFV1ISCjIwMjMtMDUtMzByBwgBEgNTRUFwAYIBCwj___________8BQAFIAZgBAQ&tfu=EgYIARABGAA&hl=en-US&curr=USD,Seattle-Tacoma International Airport,Newark Liberty International Airport
11:59 PM,1:48 PM+1,United,10 hr 49 min,1 stop,247 kg CO2,Avg emissions,$613,round trip,https://www.google.com/travel/flights/search?tfs=CBwQAhoeagcIARIDU0VBEgoyMDIzLTA1LTE5cgcIARIDRVdSGh5qBwgBEgNFV1ISCjIwMjMtMDUtMzByBwgBEgNTRUFwAYIBCwj___________8BQAFIAZgBAQ&tfu=EgYIARABGAA&hl=en-US&curr=USD,Seattle-Tacoma International Airport,Newark Liberty International Airport
11:59 PM,3:02 PM+1,United,12 hr 3 min,1 stop,242 kg CO2,Avg emissions,$613,round trip,https://www.google.com/travel/flights/search?tfs=CBwQAhoeagcIARIDU0VBEgoyMDIzLTA1LTE5cgcIARIDRVdSGh5qBwgBEgNFV1ISCjIwMjMtMDUtMzByBwgBEgNTRUFwAYIBCwj___________8BQAFIAZgBAQ&tfu=EgYIARABGAA&hl=en-US&curr=USD,Seattle-Tacoma International Airport,Newark Liberty International Airport
11:59 PM,4:33 PM+1,United,13 hr 34 min,1 stop,247 kg CO2,Avg emissions,$613,round trip,https://www.google.com/travel/flights/search?tfs=CBwQAhoeagcIARIDU0VBEgoyMDIzLTA1LTE5cgcIARIDRVdSGh5qBwgBEgNFV1ISCjIwMjMtMDUtMzByBwgBEgNTRUFwAYIBCwj___________8BQAFIAZgBAQ&tfu=EgYIARABGAA&hl=en-US&curr=USD,Seattle-Tacoma International Airport,Newark Liberty International Airport
6:00 AM,5:59 PM,AlaskaOperated by Skywest Airlines as Alaska SkyWest,8 hr 59 min,1 stop,313 kg CO2,+25% emissions,$617,round trip,https://www.google.com/travel/flights/search?tfs=CBwQAhoeagcIARIDU0VBEgoyMDIzLTA1LTE5cgcIARIDRVdSGh5qBwgBEgNFV1ISCjIwMjMtMDUtMzByBwgBEgNTRUFwAYIBCwj___________8BQAFIAZgBAQ&tfu=EgYIARABGAA&hl=en-US&curr=USD,Seattle-Tacoma International Airport,Newark Liberty International Airport
7:30 AM,5:59 PM,AlaskaOperated by Horizon Air as Alaska Horizon,7 hr 29 min,1 stop,313 kg CO2,+25% emissions,$617,round trip,https://www.google.com/travel/flights/search?tfs=CBwQAhoeagcIARIDU0VBEgoyMDIzLTA1LTE5cgcIARIDRVdSGh5qBwgBEgNFV1ISCjIwMjMtMDUtMzByBwgBEgNTRUFwAYIBCwj___________8BQAFIAZgBAQ&tfu=EgYIARABGAA&hl=en-US&curr=USD,Seattle-Tacoma International Airport,Newark Liberty International Airport
5:00 PM,6:40 AM+1,Alaska,10 hr 40 min,1 stop,378 kg CO2,+51% emissions,$617,round trip,https://www.google.com/travel/flights/search?tfs=CBwQAhoeagcIARIDU0VBEgoyMDIzLTA1LTE5cgcIARIDRVdSGh5qBwgBEgNFV1ISCjIwMjMtMDUtMzByBwgBEgNTRUFwAYIBCwj___________8BQAFIAZgBAQ&tfu=EgYIARABGAA&hl=en-US&curr=USD,Seattle-Tacoma International Airport,Newark Liberty International Airport
6:05 PM,6:40 AM+1,Alaska,9 hr 35 min,1 stop,372 kg CO2,+48% emissions,$617,round trip,https://www.google.com/travel/flights/search?tfs=CBwQAhoeagcIARIDU0VBEgoyMDIzLTA1LTE5cgcIARIDRVdSGh5qBwgBEgNFV1ISCjIwMjMtMDUtMzByBwgBEgNTRUFwAYIBCwj___________8BQAFIAZgBAQ&tfu=EgYIARABGAA&hl=en-US&curr=USD,Seattle-Tacoma International Airport,Newark Liberty International Airport
6:41 PM,11:56 AM+1,United,14 hr 15 min,1 stop,280 kg CO2,+12% emissions,$621,round trip,https://www.google.com/travel/flights/search?tfs=CBwQAhoeagcIARIDU0VBEgoyMDIzLTA1LTE5cgcIARIDRVdSGh5qBwgBEgNFV1ISCjIwMjMtMDUtMzByBwgBEgNTRUFwAYIBCwj___________8BQAFIAZgBAQ&tfu=EgYIARABGAA&hl=en-US&curr=USD,Seattle-Tacoma International Airport,Newark Liberty International Airport
6:56 PM,3:00 PM+1,Separate tickets booked togetherThis trip includes tickets from multiple airlines. Missed connections may be protected by Kiwi.com. Learn moreSpirit,17 hr 4 min,3 stops,367 kg CO2,+46% emissions,$623,round trip,https://www.google.com/travel/flights/search?tfs=CBwQAhoeagcIARIDU0VBEgoyMDIzLTA1LTE5cgcIARIDRVdSGh5qBwgBEgNFV1ISCjIwMjMtMDUtMzByBwgBEgNTRUFwAYIBCwj___________8BQAFIAZgBAQ&tfu=EgYIARABGAA&hl=en-US&curr=USD,Seattle-Tacoma International Airport,Newark Liberty International Airport
10:10 PM,10:49 AM+1,Separate tickets booked togetherThis trip includes tickets from multiple airlines. Missed connections may be protected by Kiwi.com. Learn moreJetBlue,9 hr 39 min,1 stop,421 kg CO2,+68% emissions,$646,round trip,https://www.google.com/travel/flights/search?tfs=CBwQAhoeagcIARIDU0VBEgoyMDIzLTA1LTE5cgcIARIDRVdSGh5qBwgBEgNFV1ISCjIwMjMtMDUtMzByBwgBEgNTRUFwAYIBCwj___________8BQAFIAZgBAQ&tfu=EgYIARABGAA&hl=en-US&curr=USD,Seattle-Tacoma International Airport,Newark Liberty International Airport
9:59 PM,9:10 AM+1,American,8 hr 11 min,1 stop,338 kg CO2,+35% emissions,$655,round trip,https://www.google.com/travel/flights/search?tfs=CBwQAhoeagcIARIDU0VBEgoyMDIzLTA1LTE5cgcIARIDRVdSGh5qBwgBEgNFV1ISCjIwMjMtMDUtMzByBwgBEgNTRUFwAYIBCwj___________8BQAFIAZgBAQ&tfu=EgYIARABGAA&hl=en-US&curr=USD,Seattle-Tacoma International Airport,Newark Liberty International Airport
5:10 AM,9:34 PM,United,13 hr 24 min,1 stop,285 kg CO2,+14% emissions,$656,round trip,https://www.google.com/travel/flights/search?tfs=CBwQAhoeagcIARIDU0VBEgoyMDIzLTA1LTE5cgcIARIDRVdSGh5qBwgBEgNFV1ISCjIwMjMtMDUtMzByBwgBEgNTRUFwAYIBCwj___________8BQAFIAZgBAQ&tfu=EgYIARABGAA&hl=en-US&curr=USD,Seattle-Tacoma International Airport,Newark Liberty International Airport
11:38 AM,11:14 PM,American,8 hr 36 min,1 stop,319 kg CO2,+27% emissions,$657,round trip,https://www.google.com/travel/flights/search?tfs=CBwQAhoeagcIARIDU0VBEgoyMDIzLTA1LTE5cgcIARIDRVdSGh5qBwgBEgNFV1ISCjIwMjMtMDUtMzByBwgBEgNTRUFwAYIBCwj___________8BQAFIAZgBAQ&tfu=EgYIARABGAA&hl=en-US&curr=USD,Seattle-Tacoma International Airport,Newark Liberty International Airport
11:55 PM,1:09 PM+1,American,10 hr 14 min,1 stop,343 kg CO2,+37% emissions,$657,round trip,https://www.google.com/travel/flights/search?tfs=CBwQAhoeagcIARIDU0VBEgoyMDIzLTA1LTE5cgcIARIDRVdSGh5qBwgBEgNFV1ISCjIwMjMtMDUtMzByBwgBEgNTRUFwAYIBCwj___________8BQAFIAZgBAQ&tfu=EgYIARABGAA&hl=en-US&curr=USD,Seattle-Tacoma International Airport,Newark Liberty International Airport
9:10 AM,5:24 PM,AlaskaAmerican,5 hr 14 min,Nonstop,241 kg CO2,Avg emissions,$658,round trip,https://www.google.com/travel/flights/search?tfs=CBwQAhoeagcIARIDU0VBEgoyMDIzLTA1LTE5cgcIARIDRVdSGh5qBwgBEgNFV1ISCjIwMjMtMDUtMzByBwgBEgNTRUFwAYIBCwj___________8BQAFIAZgBAQ&tfu=EgYIARABGAA&hl=en-US&curr=USD,Seattle-Tacoma International Airport,Newark Liberty International Airport
